"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PPP1R14B",384.936285806429,2.46835342052592,0.196960758036048,12.5322091828777,4.97570758469888e-36,5.59617832051083e-32
"BRI3",235.814527587142,3.33655510480747,0.279600767020193,11.933283089193,7.93798591093762e-33,4.46392637701577e-29
"H1FX",435.078873442052,2.57592297056059,0.217213664393275,11.8589361205968,1.93417044451106e-32,7.25120499647197e-29
"MAP2K2",210.217179128788,3.11246067856464,0.283449547705357,10.9806514201956,4.73496995872267e-28,1.33135517814385e-24
"SRM",625.172142827787,2.2294034667386,0.205018740062263,10.874144802868,1.53084597928207e-27,3.44348494579708e-24
"YRDC",92.3054574162842,3.33465201250562,0.310979538277634,10.7230592436231,7.93350139736544e-27,1.48713483693615e-23
"FAM89B",119.094343568505,2.97458131934629,0.300260937547864,9.90665433751972,3.894701578228e-23,5.47546358129128e-20
"LYZ",217.053116233058,3.19845747797418,0.336429049016987,9.50707879512713,1.96091659841882e-21,2.45049210915739e-18
"RNF187",141.292552850294,2.58934748556468,0.278866032768218,9.28527386380125,1.61291846375283e-20,1.81404939618281e-17
"CTU1",43.4633270066142,5.01854395504114,0.587982726420215,8.535189435913,1.39925974712114e-17,1.31145619798929e-14
"TSR3",270.279128994981,1.97476370865915,0.234624034136087,8.4167153460235,3.87186942866588e-17,3.34976272801578e-14
"IFI44L",122.080297807775,4.02657365807784,0.481776723284091,8.35775881954238,6.39209573716607e-17,5.13513576827906e-14
"PTOV1",235.78331899128,2.13633662462222,0.257808972319079,8.28650998995556,1.16619903763815e-16,8.39656626915683e-14
"SDF2L1",502.109117441137,1.82902447968724,0.225479265537899,8.11171916550263,4.99085427291715e-16,3.11845211152773e-13
"RGS19",346.071608832937,1.57372085013581,0.194913186478381,8.07395784025295,6.8055383115974e-16,4.02852049423873e-13
"IFI6",531.291550295295,2.26600601318979,0.295064147741215,7.67970636397744,1.59453657419967e-14,7.79728384783638e-12
"ORAI1",300.204215604815,1.7438360247474,0.229488197045936,7.59880485007402,2.98878084561185e-14,1.40061742377485e-11
"UBE2M",120.221643709966,2.17218446798146,0.298019529446938,7.28873195663581,3.12885838391122e-13,1.30334334236479e-10
"LGALS3",125.767982444742,3.34527590465536,0.463655904435465,7.21499688163893,5.39352124899938e-13,2.0526061527559e-10
"HAPLN3",102.488314192049,3.95144110527207,0.547825606593143,7.21295437401252,5.4750764277298e-13,2.0526061527559e-10
"PTP4A2",537.143984865559,1.21869746178485,0.169787809202526,7.17776775322639,7.08587941430419e-13,2.49046518039623e-10
"TXNL4A",451.317004833329,1.29835087999323,0.181220129551173,7.16449592663271,7.80732897104978e-13,2.6608796647696e-10
"C8orf82",55.0628250635457,3.41200480659541,0.482802983936122,7.06707481129993,1.58233658118505e-12,5.08472557959666e-10
"IFI27L2",291.045350282082,1.79305806225466,0.258166368025977,6.94535882409843,3.77499570151671e-12,1.14749666635023e-09
"BST2",1186.00795742192,1.10732953573497,0.161546576520791,6.85455278337304,7.15359549017638e-12,2.11727601257931e-09
"MARCH2",92.9115734971301,2.50666446711607,0.371460494315492,6.74813205031458,1.4976062236021e-11,4.2108942992132e-09
"TUBB4B",842.06998619935,1.14102383417602,0.170465887196852,6.69356111618025,2.17804004206192e-11,5.97473569587084e-09
"NBL1",145.35215462898,2.36725776344247,0.355417460394719,6.66049934860669,2.72898777390859e-11,7.30783940313092e-09
"CDV3",248.029326295779,1.55021656141788,0.23478175345424,6.60279829505584,4.03468338182291e-11,1.04976810899627e-08
"C1orf122",213.405270697334,1.55582330423617,0.237566821378583,6.54899238541747,5.79265847259267e-11,1.43773851824711e-08
