"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0050900","GO:0050900","leukocyte migration",208,0.58730122453453,2.38710349940923,4.84733724666036e-17,1.61382432183359e-13,1.25832944886167e-13,1900,"tags=43%, list=17%, signal=36%","CXCL11/PTAFR/CCL2/S100A9/CXCL1/TNFRSF18/LGALS3/LGMN/GATA3/HCK/NBL1/JAML/ASB2/ALOX5/CXCL8/CNR2/RARRES2/NINJ1/TNFRSF11A/ITGA1/HMOX1/B4GALT1/PDE4B/FLT1/FCER1G/ADAM8/ADA/IL16/RIPK3/ICAM1/FUT7/PIP5K1C/SIRPA/PIK3CD/DAPK2/SPI1/IL1B/LGALS9/CD74/CXCL3/CALR/MCOLN2/PYCARD/MAPK3/FUT4/SRC/DUSP1/CXCL2/IL12A/HSD3B7/PLEC/NKX2-3/ASCL2/CKLF/GPSM3/SPNS2/BCR/CD81/PREX1/AKT1/RAC2/JAM2/CCL28/CCL5/ITGB2/MAPK1/GPR183/NEDD9/CREB3/SLC12A2/LYN/MMP28/RAC1/CD300A/DDT/VEGFB/DPP4/IL27RA/IL17RA/MYD88/MMP2/MDK/PPIB/HOXA7/EMILIN1/TMEM102/CD99/VAV3/RAC3"
"GO:0009617","GO:0009617","response to bacterium",310,0.529472054637862,2.23995570174142,6.72146739622486e-17,1.61382432183359e-13,1.25832944886167e-13,1978,"tags=39%, list=18%, signal=33%","CXCL11/PTAFR/CCL2/S100A9/CXCL1/PTGIR/CFP/LYZ/RGS1/IL10RA/BCL3/LRG1/CD40/ANXA3/HCK/OAS1/GBP5/USP18/OAS3/MRC1/TNFSF8/ACE/CXCL8/CNR2/LY96/PLSCR3/NFKB2/RARRES2/TNFRSF11A/OAS2/ZC3H12A/NFKBIA/CEBPB/STAB1/PDE4B/FCER1G/GBP1/NFKB1/GBP4/NAGK/IL18BP/MAPKAPK2/LILRB2/LRAT/OPTN/IGHM/TNFRSF1B/CFD/GRN/TNIP2/SIRPA/SBNO2/ISG15/SPI1/IL1B/IL12RB2/TNFAIP3/EMILIN2/LDOC1/PGLYRP2/LGALS9/LITAF/CXCL3/NLRP1/DHX58/TMEM229B/CD96/PYCARD/MAPK3/CASP1/ARG2/SRC/MALT1/CSF2RB/CXCL2/NLRC5/GSDMD/IL12A/HLA-DRB1/CYBA/TICAM1/GBP2/RNF213/CYP1A1/HLA-B/CD68/BCR/NOTCH1/NFKBIB/AKT1/ARID5A/TLR6/TFEB/REG4/TNIP1/MAPK1/HLA-A/CD4/TUSC2/SHARPIN/LYN/GSTP1/RAB29/RBCK1/OTUD5/TAP2/IL27RA/NAGLU/MYD88/ZNFX1/FKBP5/PLAC8/EMILIN1/PPP1R11/PRKCD/B2M/IRF3/GFER/FOS/CASP4/NLRP3"
"GO:0002250","GO:0002250","adaptive immune response",258,0.55577441663259,2.30963950017676,2.06894468917593e-16,3.31169079914093e-13,2.58218816119255e-13,1474,"tags=38%, list=13%, signal=33%","CTSH/EBI3/IGKC/ADGRE1/HLA-DQA1/IL21R/BCL3/HLA-DRB5/CD40/GATA3/RELB/HLA-F/CTSL/CLEC7A/SEMA4A/IL1RL1/ICOSLG/IRF7/HLX/HLA-DMB/NFKB2/HLA-DOA/IL18R1/RNF19B/ORAI1/TNFRSF11A/HLA-DOB/ZC3H12A/HLA-DQB1/HRAS/FCER1G/JUNB/IL12RB1/UNC93B1/IL18BP/ADA/LILRB2/CSK/IGHM/CD70/RIPK3/TNFRSF1B/ICAM1/CD8B/LAG3/HLA-DPA1/HLA-DMA/FUT7/SOCS3/SERPING1/PIK3CD/HLA-DPB1/IL1B/TNFAIP3/NFKBID/RSAD2/CEACAM1/CD74/JAK3/MCOLN2/PYCARD/ARG2/RFTN1/TAP1/MALT1/TRBC2/SKAP1/CSF2RB/TGFB1/MCOLN1/BATF/IL12A/HLA-DRB1/ASCL2/HLA-C/EXOSC6/CD3D/RNF125/HLA-B/PRR7/RAB27A/DUSP22/HLA-DRA/CD81/NOTCH1/ARID5A/TFEB/TMEM98/LOXL3/OTUB1/GPR183/TCIRG1/HLA-A/CD4/ADCY7/WAS/PRKCZ"
"GO:0042110","GO:0042110","T cell activation",361,0.510057468832933,2.19114190626235,3.88515610556251e-16,4.6641299047278e-13,3.63671059670681e-13,1981,"tags=38%, list=18%, signal=32%","EBI3/CCL2/TNFRSF4/LGALS3/HLA-DQA1/CD2/BCL3/HLA-DRB5/GATA3/TNFRSF9/SOCS1/RUNX3/JAML/RELB/CTSL/CLEC7A/SEMA4A/TNFSF8/ICOSLG/HLX/HLA-DMB/SDC4/HLA-DOA/IL18R1/IL2RG/EGR1/HLA-DOB/NKG7/ZC3H12A/HLA-DQB1/CEBPB/MAP3K8/FCER1G/ADAM8/JUNB/IL15/BTN2A2/IL12RB1/ADA/LILRB2/CSK/CD70/RIPK3/TNFRSF1B/ICAM1/CD8B/LAG3/HLA-DPA1/HLA-DMA/FUT7/SOCS3/LFNG/SIRPA/BRD7/PIK3CD/FGL2/HLA-DPB1/SPI1/IL1B/CD44/NFKBID/RSAD2/CEACAM1/LGALS9/CD74/JAK3/PRELID1/PYCARD/VNN1/ARG2/RUNX2/PIK3R2/SRC/MALT1/TRBC2/NCK2/AP3D1/RASGRP1/TGFB1/BATF/IL12A/HLA-DRB1/FCHO1/IL2RA/SMAD3/NKX2-3/CGAS/RASAL3/ASCL2/CD3D/PRR7/RAB27A/DUSP22/HLA-DRA/TP53/CD81/PREX1/AKT1/RAC2/SMARCD2/TMEM98/LOXL3/EFNB1/DOCK2/CCL5/BID/GPR183/TCIRG1/HLA-A/CD4/CD151/WAS/PRKCZ/CCDC88B/PNP/LYN/RAB29/CD300A/DPP4/PAWR/PATZ1/LGALS1/FKBP1A/MDK/PAG1/DAPL1/VSIR/STOML2/LMBR1L/B2M/DUSP3/SRF/CORO1A/JMJD6/NLRP3/SOX12"
"GO:0006954","GO:0006954","inflammatory response",421,0.48565344252369,2.1133157972506,7.98337668485899e-16,7.66723496813858e-13,5.97828860379862e-13,1707,"tags=32%, list=15%, signal=28%","CXCL11/PTAFR/CCL2/S100A9/CXCL1/TNFRSF4/IER3/PTGIR/GPR68/LYZ/IL10RA/SUCNR1/CD40/GATA3/HCK/GBP5/USP18/RELB/CLEC7A/ALOX5AP/BIRC3/ALOX5/IL1RL1/CXCL8/CNR2/LY96/NFKB2/IL18R1/RARRES2/TYROBP/NINJ1/IFI35/TNFRSF11A/HMOX1/NKG7/ZC3H12A/NFKBIA/CEBPB/CEBPA/B4GALT1/STAB1/ITGAM/ADAM8/IL15/NFKB1/APOL3/PLA2G4C/GGT1/SPHK1/MAPKAPK2/GHRL/ADA/FURIN/TRADD/IL16/TNFRSF1B/GRN/RHBDF2/SMAD1/FUT7/SOCS3/TNIP2/SIRPA/PIK3CD/SBNO2/IL1B/CD44/TNFAIP3/NFKBID/PSTPIP1/IFNGR2/PGLYRP2/LGALS9/ZDHHC12/CXCL3/NLRP1/CD96/PYCARD/VNN1/CASP1/FUT4/HYAL2/THEMIS2/MGLL/AKNA/SRC/APOL2/CXCL2/RASGRP1/SEMA7A/TGFB1/GSDMD/HLA-DRB1/IL2RA/SMAD3/CYBA/TICAM1/F12/GBP2/FASN/GPSM3/CD68/BCR/CD81/NOTCH1/NFKBIB/AKT1/TLR6/LOXL3/TNIP1/OTULIN/CCL5/ITGB2/TCIRG1/PLSCR1/NCF1/TUSC2/ADCY7/FOSL1/PRKCZ/DHRS7B/SHARPIN/PRDX5/LYN/GSTP1/RAC1/IL10RB/DDT/TIMP1/ETS1/NAGLU/IL17RA/LGALS1/PARK7/MYD88"
"GO:0006935","GO:0006935","chemotaxis",199,0.583928461748231,2.35617306515979,1.19926060695238e-15,8.22692776369333e-13,6.41469169763853e-13,1900,"tags=47%, list=17%, signal=40%","CXCL11/PTAFR/CCL2/S100A9/CXCL1/LGALS3/LGMN/SUCNR1/NBL1/JAML/TYMP/SEMA4A/HBEGF/ALOX5/CXCL8/CNR2/RARRES2/NINJ1/TNFRSF11A/ITGA1/CMTM8/SEMA3C/HRAS/PDE4B/FLT1/FCER1G/ADAM8/PLAUR/NRP2/IL16/PIP5K1C/PIK3CD/DAPK2/SPI1/IL1B/RHOG/LGALS9/CD74/PPM1F/CXCL3/CALR/MAPK3/DUSP1/SEMA6B/CMTM3/ST6GAL1/ROBO1/YTHDF1/CXCL2/SEMA7A/TGFB1/IL12A/HSD3B7/PLEC/SMAD3/CKLF/GPSM3/ARRB2/ROBO3/NOTCH1/PREX1/HSPB1/RAC2/RAB13/CCL28/DOCK2/CCL5/ITGB2/MAPK1/GPR183/MYCBP2/NEDD9/CREB3/FOSL1/RALA/SLC12A2/LYN/MMP28/RAC1/RALBP1/DDT/VEGFB/CMTM7/DPP4/IL17RA/MMP2/MDK/PPIB/BIN2/TMEM102/PRKCD/VAV3/DUSP3/RAC3"
"GO:0042330","GO:0042330","taxis",199,0.583928461748231,2.35617306515979,1.19926060695238e-15,8.22692776369333e-13,6.41469169763853e-13,1900,"tags=47%, list=17%, signal=40%","CXCL11/PTAFR/CCL2/S100A9/CXCL1/LGALS3/LGMN/SUCNR1/NBL1/JAML/TYMP/SEMA4A/HBEGF/ALOX5/CXCL8/CNR2/RARRES2/NINJ1/TNFRSF11A/ITGA1/CMTM8/SEMA3C/HRAS/PDE4B/FLT1/FCER1G/ADAM8/PLAUR/NRP2/IL16/PIP5K1C/PIK3CD/DAPK2/SPI1/IL1B/RHOG/LGALS9/CD74/PPM1F/CXCL3/CALR/MAPK3/DUSP1/SEMA6B/CMTM3/ST6GAL1/ROBO1/YTHDF1/CXCL2/SEMA7A/TGFB1/IL12A/HSD3B7/PLEC/SMAD3/CKLF/GPSM3/ARRB2/ROBO3/NOTCH1/PREX1/HSPB1/RAC2/RAB13/CCL28/DOCK2/CCL5/ITGB2/MAPK1/GPR183/MYCBP2/NEDD9/CREB3/FOSL1/RALA/SLC12A2/LYN/MMP28/RAC1/RALBP1/DDT/VEGFB/CMTM7/DPP4/IL17RA/MMP2/MDK/PPIB/BIN2/TMEM102/PRKCD/VAV3/DUSP3/RAC3"
"GO:0060326","GO:0060326","cell chemotaxis",139,0.632479774334204,2.46724327493407,2.26628835912355e-15,1.36033958756391e-12,1.06068259123717e-12,1954,"tags=50%, list=17%, signal=42%","CXCL11/CCL2/S100A9/CXCL1/LGALS3/LGMN/NBL1/JAML/HBEGF/ALOX5/CXCL8/CNR2/RARRES2/NINJ1/TNFRSF11A/ITGA1/PDE4B/FLT1/FCER1G/ADAM8/IL16/PIP5K1C/PIK3CD/DAPK2/SPI1/IL1B/RHOG/LGALS9/CD74/CXCL3/CALR/MAPK3/DUSP1/CXCL2/IL12A/HSD3B7/PLEC/CKLF/GPSM3/ARRB2/NOTCH1/PREX1/HSPB1/RAC2/RAB13/CCL28/CCL5/ITGB2/MAPK1/GPR183/NEDD9/CREB3/SLC12A2/LYN/MMP28/RAC1/DDT/VEGFB/DPP4/IL17RA/MMP2/MDK/PPIB/BIN2/TMEM102/PRKCD/VAV3/RAC3/CORO1A"
"GO:0030595","GO:0030595","leukocyte chemotaxis",114,0.671543061157471,2.54183295750608,2.91247159059451e-15,1.55396539755943e-12,1.21165630967774e-12,1868,"tags=51%, list=17%, signal=43%","CXCL11/CCL2/S100A9/CXCL1/LGALS3/LGMN/NBL1/JAML/ALOX5/CXCL8/CNR2/RARRES2/NINJ1/TNFRSF11A/ITGA1/PDE4B/FLT1/FCER1G/ADAM8/IL16/PIP5K1C/PIK3CD/DAPK2/SPI1/IL1B/LGALS9/CD74/CXCL3/CALR/MAPK3/DUSP1/CXCL2/IL12A/HSD3B7/PLEC/CKLF/GPSM3/PREX1/RAC2/CCL5/ITGB2/MAPK1/GPR183/NEDD9/CREB3/SLC12A2/LYN/MMP28/RAC1/DDT/VEGFB/DPP4/IL17RA/MMP2/MDK/PPIB/TMEM102/VAV3"
"GO:0098609","GO:0098609","cell-cell adhesion",439,0.471787690007137,2.06218574825924,4.53128439412765e-15,2.1759227660601e-12,1.69660827262232e-12,2131,"tags=38%, list=19%, signal=32%","EBI3/PTAFR/CCL2/S100A9/LGALS3/HLA-DQA1/CD2/NEGR1/LRG1/HLA-DRB5/GATA3/ITGAX/EPCAM/SOCS1/RUNX3/JAML/ALOX5/ICOSLG/HLX/HLA-DMB/SDC4/HLA-DOA/IL2RG/NINJ1/HLA-DOB/ITGA1/CDH7/ZC3H12A/HLA-DQB1/CEBPB/MAP3K8/RGCC/ITGAM/ADAM8/PLAUR/IL15/MPZL2/FLOT1/BTN2A2/IL12RB1/SLC7A11/MYL9/ADA/LILRB2/CLDN5/CSK/CD70/FLNA/ICAM1/LAG3/HLA-DPA1/HLA-DMA/FUT7/PIP5K1C/AFDN/SIRPA/BRD7/FGL2/TJP2/HLA-DPB1/SPI1/IL1B/CD44/EMILIN2/NFKBID/S100A11/CEACAM1/LGALS9/CD74/PPM1F/PLXNB2/CLDN7/NOTCH4/JAK3/PYCARD/VNN1/FUT4/ARG2/AKNA/SRC/MALT1/NCK2/CLDN15/AP3D1/ROBO1/SKAP1/RASGRP1/TGFB1/IL12A/HLA-DRB1/FCHO1/IL2RA/NINJ2/RASAL3/ASCL2/SH2B3/CNN3/DUSP22/ROBO3/HLA-DRA/CD81/NOTCH1/AKT1/HSPB1/RAC2/SMARCD2/LOXL3/JAM2/TNIP1/EFNB1/CCL28/CCL5/CTNND1/ITGB2/PCDH11Y/CLSTN1/HLA-A/CD4/SERPINB8/BLOC1S4/PRKCZ/CCDC88B/ILK/PNP/LYN/CD300A/ACTG1/DPP4/NECTIN2/PAWR/DLG4/ETS1/CPLANE2/LGALS1/SPINT2/CD58/MDK/PAG1/DAPL1/PPP1CA/EMILIN1/VSIR/PRKCD/CD99/F2RL3/B2M/ADAM19/DUSP3/SRF/ANXA2/CLDN12/CSRP1/CORO1A/NLRP3/SOX12/PIEZO1/SELENOK/LRP5/LRFN4/MAD2L2/CD47/GNAS/MYADM/IL4R/MAPK7"
