"","myAUC","avg_diff","power","avg_log2FC","pct.1","pct.2","cluster","gene"
"CD74",0.955,1.27385272129931,0.91,1.88178355790786,0.999,0.965,"0","CD74"
"HLA-DPA1",0.939,1.08226645765717,0.878,1.69979114103848,0.998,0.896,"0","HLA-DPA1"
"HLA-B",0.938,0.956470808604389,0.876,1.45815806716959,1,0.979,"0","HLA-B"
"HLA-DRB1",0.936,1.17241287728516,0.872,1.78230497123084,0.998,0.93,"0","HLA-DRB1"
"HLA-DRA",0.926,0.958056745443573,0.852,1.43326379114631,0.999,0.96,"0","HLA-DRA"
"IL32",0.925,1.54649910498834,0.85,2.58135597437823,0.987,0.229,"0","IL32"
"HLA-DQA1",0.925,1.53511624794431,0.85,2.93392999731173,0.963,0.376,"0","HLA-DQA1"
"TNFRSF4",0.923,1.49808307535684,0.846,2.81388440919916,0.978,0.287,"0","TNFRSF4"
"B2M",0.908,0.684842470912845,0.816,1.00586746509572,1,0.998,"0","B2M"
"EBI3",0.894,1.45293762205405,0.788,3.22331894661298,0.899,0.161,"0","EBI3"
"HLA-DPB1",0.894,0.876227917013678,0.788,1.38987896325605,0.997,0.888,"0","HLA-DPB1"
"HLA-A",0.876,0.680709516525418,0.752,1.04171205415616,1,0.981,"0","HLA-A"
"NFKBIA",0.871,1.03202083168463,0.742,1.96778074433869,0.971,0.573,"0","NFKBIA"
"HLA-DMA",0.859,0.734797296861608,0.718,1.33671667587314,0.986,0.801,"0","HLA-DMA"
"HLA-DQB1",0.859,0.927165292174513,0.718,1.85818593454385,0.967,0.599,"0","HLA-DQB1"
"RPLP2",0.85,0.356288193594541,0.7,0.524160692191491,1,0.999,"0","RPLP2"
"TNFSF10",0.848,0.988112594762975,0.696,2.48305370159033,0.875,0.295,"0","TNFSF10"
"FSCN1",0.837,0.943433251978555,0.674,1.94918377477791,0.942,0.601,"0","FSCN1"
"RPLP1",0.836,0.312610220585482,0.672,0.455091343699158,1,1,"0","RPLP1"
"TPT1",0.834,0.559074568287295,0.668,0.819604100780582,1,0.999,"0","TPT1"
"IL2RG",0.831,0.675801427099651,0.662,1.59605644166885,0.941,0.46,"0","IL2RG"
"IFITM3",0.822,0.723167893111401,0.644,1.32470467920496,0.983,0.731,"0","IFITM3"
"PTGIR",0.82,0.761027573543517,0.64,2.55743719253873,0.783,0.208,"0","PTGIR"
"CD82",0.82,0.661317872661215,0.64,1.33798402897462,0.975,0.685,"0","CD82"
"TUBA1A",0.816,0.729126273655785,0.632,1.37214530366298,0.964,0.725,"0","TUBA1A"
"DBI",0.811,0.59209310565001,0.622,1.09666600479162,0.993,0.793,"0","DBI"
"PRDX1",0.809,0.731138904404129,0.618,1.14095037138827,0.998,0.942,"0","PRDX1"
"IFI6",0.808,1.04164335465416,0.616,2.15591573967178,0.89,0.454,"0","IFI6"
"RPL28",0.806,0.294183661474799,0.612,0.432849041887581,1,1,"0","RPL28"
"RHOG",0.805,0.571837360909479,0.61,1.16645620608759,0.977,0.735,"0","RHOG"
"EEF1A1",0.804,0.32176559996242,0.608,0.468026170694817,1,0.999,"0","EEF1A1"
"FTH1",0.8,0.944635767968445,0.6,1.39665452422826,1,0.999,"0","FTH1"
"TMSB10",0.797,0.478951450159987,0.594,0.721281831871975,1,0.993,"0","TMSB10"
"IL1B",0.789,0.910115850452636,0.578,1.76278028415072,0.919,0.612,"0","IL1B"
"RPL10",0.788,0.265463216766595,0.576,0.387343518129574,1,0.999,"0","RPL10"
"RPS12",0.787,0.287412993412173,0.574,0.420329746725252,1,1,"0","RPS12"
"TNFRSF18",0.787,0.65150977631827,0.574,1.91310476057633,0.788,0.264,"0","TNFRSF18"
